name;brewery_type;address_1;city;state;street;postal_code;country;longitude;latitude;phone;website_url;LineHash;BlockHash;InsertDate
(405) Brewing Co;micro;1716 Topeka St;Norman;Oklahoma;1716 Topeka St;73069-8224;United States;-9.746.818.222;3.525.738.891;4058160490;http://www.405brewing.com;5128df48-79fc-4f0f-8b52-d06be54d0cec;Hash;2024-06-03 11:15:13.621295
(512) Brewing Co;micro;407 Radam Ln Ste F200;Austin;Texas;407 Radam Ln Ste F200;78745-1197;United States;0;0;5129211545;http://www.512brewing.com;9c5a66c8-cc13-416f-a5d9-0a769c87d318;Hash;2024-06-03 11:15:13.621295
1 of Us Brewing Company;micro;8100 Washington Ave;Mount Pleasant;Wisconsin;8100 Washington Ave;53406-3920;United States;-8.788.336.350.209.430;4.272.010.826.899.550;2624847553;https://www.1ofusbrewing.com;34e8c68b-6146-453f-a4b9-1f6cd99a5ada;Hash;2024-06-03 11:15:13.621295
10 Barrel Brewing Co;large;1501 E St;San Diego;California;1501 E St;92101-6618;United States;-117.129.593;32.714.813;6195782311;http://10barrel.com;ef970757-fe42-416f-931d-722451f1f59c;Hash;2024-06-03 11:15:13.621295
10 Barrel Brewing Co;large;62970 18th St;Bend;Oregon;62970 18th St;97701-9847;United States;-121.281.706;4.408.683.531;5415851007;http://www.10barrel.com;6d14b220-8926-4521-8d19-b98a2d6ec3db;Hash;2024-06-03 11:15:13.621295
10 Barrel Brewing Co;large;1135 NW Galveston Ave Ste B;Bend;Oregon;1135 NW Galveston Ave Ste B;97703-2465;United States;-1.213.288.021;440.575.649;5415851007;WithoutWebSite;e2e78bd8-80ff-4a61-a65c-3bfbd9d76ce2;Hash;2024-06-03 11:15:13.621295
10 Barrel Brewing Co;large;1411 NW Flanders St;Portland;Oregon;1411 NW Flanders St;97209-2620;United States;-1.226.855.056;455.259.786;5032241700;http://www.10barrel.com;e432899b-7f58-455f-9c7b-9a6e2130a1e0;Hash;2024-06-03 11:15:13.621295
10 Barrel Brewing Co - Bend Pub;large;62950 NE 18th St;Bend;Oregon;62950 NE 18th St;97701;United States;-1.212.809.536;440.912.109;5415851007;WithoutWebSite;9f1852da-c312-42da-9a31-097bac81c4c0;Hash;2024-06-03 11:15:13.621295
10 Barrel Brewing Co - Boise;large;826 W Bannock St;Boise;Idaho;826 W Bannock St;83702-5857;United States;-116.202.929;43.618.516;2083445870;http://www.10barrel.com;ea4f30c0-bce6-416b-8904-fab4055a7362;Hash;2024-06-03 11:15:13.621295
10 Barrel Brewing Co - Denver;large;2620 Walnut St;Denver;Colorado;2620 Walnut St;80205-2231;United States;-1.049.853.655;397.592.508;7205738992;WithoutWebSite;1988eb86-f0a2-4674-ba04-02454efa0d31;Hash;2024-06-03 11:15:13.621295
10 Torr Distilling and Brewing;micro;490 Mill St;Reno;Nevada;490 Mill St;89502;United States;-1.197.732.015;395.171.702;7755307014;http://www.10torr.com;1ecc330f-6275-42a5-b14e-00adbed62752;Hash;2024-06-03 11:15:13.621295
10-56 Brewing Company;micro;400 Brown Cir;Knox;Indiana;400 Brown Cir;46534;United States;-86.627.954;41.289.715;6308165790;WithoutWebSite;7531dbd8-afc9-4b5b-95bc-7ece7f2c0bf3;Hash;2024-06-03 11:15:13.621295
101 Brewery;brewpub;294793 US Highway 101;Quilcene;Washington;294793 US Highway 101;98376-9000;United States;-1.228.755.823;4.782.347.577;3607656485;http://www.101brewery.com;03118499-a3d0-4c22-860d-4529509ae095;Hash;2024-06-03 11:15:13.621295
101 North Brewing Company;closed;1304 Scott St Ste D;Petaluma;California;1304 Scott St Ste D;94954-7100;United States;-122.665.055;3.827.029.381;7077534934;http://www.101northbeer.com;5ae467af-66dc-4d7f-8839-44228f89b596;Hash;2024-06-03 11:15:13.621295
105 West Brewing Co;micro;1043 Park St;Castle Rock;Colorado;1043 Park St;80109-1585;United States;-1.048.667.206;3.938.269.495;3033257321;http://www.105westbrewing.com;4ffda196-dd59-44a5-9eeb-5f7fd4b58f5a;Hash;2024-06-03 11:15:13.621295
10K Brewing;micro;2005 2nd Ave;Anoka;Minnesota;2005 2nd Ave;55303-2243;United States;-9.338.952.559;4.519.812.039;7633924753;http://10KBrew.com;42aa37d5-8384-4ffe-8c81-7c982eff0384;Hash;2024-06-03 11:15:13.621295
