name;brewery_type;address_1;address_2;address_3;city;state_province;postal_code;country;longitude;latitude;phone;website_url;state;street;LineHash;BlockHash;InsertDate
(405) Brewing Co;micro;1716 Topeka St;Others;Others;Norman;Oklahoma;73069-8224;United States;-9.746.818.222;3.525.738.891;4058160490;http://www.405brewing.com;Oklahoma;1716 Topeka St;5128df48-79fc-4f0f-8b52-d06be54d0cec;Hash;2024-06-03 11:15:13.621295
(512) Brewing Co;micro;407 Radam Ln Ste F200;Others;Others;Austin;Texas;78745-1197;United States;0;0;5129211545;http://www.512brewing.com;Texas;407 Radam Ln Ste F200;9c5a66c8-cc13-416f-a5d9-0a769c87d318;Hash;2024-06-03 11:15:13.621295
1 of Us Brewing Company;micro;8100 Washington Ave;Others;Others;Mount Pleasant;Wisconsin;53406-3920;United States;-8.788.336.350.209.430;4.272.010.826.899.550;2624847553;https://www.1ofusbrewing.com;Wisconsin;8100 Washington Ave;34e8c68b-6146-453f-a4b9-1f6cd99a5ada;Hash;2024-06-03 11:15:13.621295
10 Barrel Brewing Co;large;1501 E St;Others;Others;San Diego;California;92101-6618;United States;-117.129.593;32.714.813;6195782311;http://10barrel.com;California;1501 E St;ef970757-fe42-416f-931d-722451f1f59c;Hash;2024-06-03 11:15:13.621295
10 Barrel Brewing Co;large;62970 18th St;Others;Others;Bend;Oregon;97701-9847;United States;-121.281.706;4.408.683.531;5415851007;http://www.10barrel.com;Oregon;62970 18th St;6d14b220-8926-4521-8d19-b98a2d6ec3db;Hash;2024-06-03 11:15:13.621295
10 Barrel Brewing Co;large;1135 NW Galveston Ave Ste B;Others;Others;Bend;Oregon;97703-2465;United States;-1.213.288.021;440.575.649;5415851007;WithoutWebSite;Oregon;1135 NW Galveston Ave Ste B;e2e78bd8-80ff-4a61-a65c-3bfbd9d76ce2;Hash;2024-06-03 11:15:13.621295
10 Barrel Brewing Co;large;1411 NW Flanders St;Others;Others;Portland;Oregon;97209-2620;United States;-1.226.855.056;455.259.786;5032241700;http://www.10barrel.com;Oregon;1411 NW Flanders St;e432899b-7f58-455f-9c7b-9a6e2130a1e0;Hash;2024-06-03 11:15:13.621295
10 Barrel Brewing Co - Bend Pub;large;62950 NE 18th St;Others;Others;Bend;Oregon;97701;United States;-1.212.809.536;440.912.109;5415851007;WithoutWebSite;Oregon;62950 NE 18th St;9f1852da-c312-42da-9a31-097bac81c4c0;Hash;2024-06-03 11:15:13.621295
10 Barrel Brewing Co - Boise;large;826 W Bannock St;Others;Others;Boise;Idaho;83702-5857;United States;-116.202.929;43.618.516;2083445870;http://www.10barrel.com;Idaho;826 W Bannock St;ea4f30c0-bce6-416b-8904-fab4055a7362;Hash;2024-06-03 11:15:13.621295
10 Barrel Brewing Co - Denver;large;2620 Walnut St;Others;Others;Denver;Colorado;80205-2231;United States;-1.049.853.655;397.592.508;7205738992;WithoutWebSite;Colorado;2620 Walnut St;1988eb86-f0a2-4674-ba04-02454efa0d31;Hash;2024-06-03 11:15:13.621295
10 Torr Distilling and Brewing;micro;490 Mill St;Others;Others;Reno;Nevada;89502;United States;-1.197.732.015;395.171.702;7755307014;http://www.10torr.com;Nevada;490 Mill St;1ecc330f-6275-42a5-b14e-00adbed62752;Hash;2024-06-03 11:15:13.621295
10-56 Brewing Company;micro;400 Brown Cir;Others;Others;Knox;Indiana;46534;United States;-86.627.954;41.289.715;6308165790;WithoutWebSite;Indiana;400 Brown Cir;7531dbd8-afc9-4b5b-95bc-7ece7f2c0bf3;Hash;2024-06-03 11:15:13.621295
101 Brewery;brewpub;294793 US Highway 101;Others;Others;Quilcene;Washington;98376-9000;United States;-1.228.755.823;4.782.347.577;3607656485;http://www.101brewery.com;Washington;294793 US Highway 101;03118499-a3d0-4c22-860d-4529509ae095;Hash;2024-06-03 11:15:13.621295
101 North Brewing Company;closed;1304 Scott St Ste D;Others;Others;Petaluma;California;94954-7100;United States;-122.665.055;3.827.029.381;7077534934;http://www.101northbeer.com;California;1304 Scott St Ste D;5ae467af-66dc-4d7f-8839-44228f89b596;Hash;2024-06-03 11:15:13.621295
105 West Brewing Co;micro;1043 Park St;Others;Others;Castle Rock;Colorado;80109-1585;United States;-1.048.667.206;3.938.269.495;3033257321;http://www.105westbrewing.com;Colorado;1043 Park St;4ffda196-dd59-44a5-9eeb-5f7fd4b58f5a;Hash;2024-06-03 11:15:13.621295
10K Brewing;micro;2005 2nd Ave;Others;Others;Anoka;Minnesota;55303-2243;United States;-9.338.952.559;4.519.812.039;7633924753;http://10KBrew.com;Minnesota;2005 2nd Ave;42aa37d5-8384-4ffe-8c81-7c982eff0384;Hash;2024-06-03 11:15:13.621295
10th District Brewing Company;micro;491 Washington St;Others;Others;Abington;Massachusetts;02351-2419;United States;-7.094.594.149;4.210.591.754;7813071554;http://www.10thdistrictbrewing.com;Massachusetts;491 Washington St;232e8f62-9afc-45f5-b4bc-582c26b5c43b;Hash;2024-06-03 11:15:13.621295
11 Below Brewing Company;micro;6820 Bourgeois Rd;Others;Others;Houston;Texas;77066-3107;United States;-955.186.591;299.515.464;2814442337;http://www.11belowbrewing.com;Texas;6820 Bourgeois Rd;08f78223-24f8-4b71-b381-ea19a5bd82df;Hash;2024-06-03 11:15:13.621295
1188 Brewing Co;brewpub;141 E Main St;Others;Others;John Day;Oregon;97845-1210;United States;-1.189.218.754;444.146.563;5415751188;http://www.1188brewing.com;Oregon;141 E Main St;58293321-14ae-49d7-9a7b-08436c9e63a6;Hash;2024-06-03 11:15:13.621295
12 Acres Brewing Company;micro;Unnamed Street;Clonmore;Others;Killeshin;Laois;R93 X3X8;Ireland;-6.979.343.891;5.284.930.763;3,54E+11;https://12acresbrewing.ie/;Laois;Unnamed Street;e5f3e72a-fee2-4813-82cf-f2e53b439ae6;Hash;2024-06-03 11:15:13.621295
12 Gates Brewing Company;brewpub;80 Earhart Dr Ste 20;Others;Others;Williamsville;New York;14221-7804;United States;0;0;7169066600;http://www.12gatesbrewing.com;New York;80 Earhart Dr Ste 20;d81ff708-b5d2-478f-af6a-6d40f5beb9ac;Hash;2024-06-03 11:15:13.621295
12 West Brewing Company;micro;3000 E Ray Rd Bldg 6;Others;Others;Gilbert;Arizona;85296-7832;United States;0;0;6023395014;http://www.12westbrewing.com;Arizona;3000 E Ray Rd Bldg 6;fb94830f-6196-4f59-9189-c9060b778085;Hash;2024-06-03 11:15:13.621295
12 West Brewing Company - Production Facility;micro;Others;Others;Others;Mesa;Arizona;85207;United States;-1.115.860.662;33.436.188;0;WithoutWebSite;Arizona;Others;0faa0fb2-fffa-416d-9eab-46f67477c8ef;Hash;2024-06-03 11:15:13.621295
122 West Brewing Co;closed;2416 Meridian St;Others;Others;Bellingham;Washington;98225-2405;United States;-122.485.982;487.621.709;3603063285;https://www.122westbrew.com/;Washington;2416 Meridian St;e54c2f02-acd6-4172-861d-fcfa54c8701a;Hash;2024-06-03 11:15:13.621295
127 Brewing;micro;3090 Shirley Dr;Others;Others;Jackson;Michigan;49201-7010;United States;-8.443.116.792;4.228.667.212;5172581346;WithoutWebSite;Michigan;3090 Shirley Dr;d5cb896d-3e99-4e19-9693-5e06ce987e53;Hash;2024-06-03 11:15:13.621295
12Degree Brewing;brewpub;820 Main St;Others;Others;Louisville;Colorado;80027-1865;United States;-1.051.319.826;399.782.443;3035791004;http://www.12degree.com;Colorado;820 Main St;06e9fffb-e820-45c9-b107-b52b51013e8f;Hash;2024-06-03 11:15:13.621295
12welve Eyes Brewing;micro;141 E 4th St Ste LL2;Others;Others;Saint Paul;Minnesota;55101-1639;United States;0;0;6514938106;http://www.12welveEyes.com;Minnesota;141 E 4th St Ste LL2;50521ef7-f543-4c5d-98b1-0d0ee1a2be01;Hash;2024-06-03 11:15:13.621295
13 Below Brewery;micro;7391 Forbes Rd;Others;Others;Cincinnati;Ohio;45233-1013;United States;-8.470.634.815;3.912.639.764;5139750613;http://www.13belowbrewery.com;Ohio;7391 Forbes Rd;950180bd-29c9-46b3-ad0c-e6f09799ec7f;Hash;2024-06-03 11:15:13.621295
13 Stripes Brewery;brewpub;250 Mill St, Suite PW3101;Others;Others;Taylors;South Carolina;29687;United States;0;0;8643491430;http://www.13StripesBrewery.com;South Carolina;250 Mill St, Suite PW3101;45119c56-345b-4adc-b481-c5cf7bfe98c4;Hash;2024-06-03 11:15:13.621295
13 Virtues Brewing Co;brewpub;6410 SE Milwaukie Ave;Others;Others;Portland;Oregon;97202-5518;United States;-1.226.487.531;454.762.536;5032393831;http://www.13virtuesbrewing.com;Oregon;6410 SE Milwaukie Ave;936c3d7e-5d54-4459-b72c-117cdda059b4;Hash;2024-06-03 11:15:13.621295
1323 R & D;micro;1323 Capital Blvd 1323 R and D;Others;Others;Raleigh;North Carolina;27603-1117;United States;0;0;9199775654;http://www.1323rnd.com;North Carolina;1323 Capital Blvd 1323 R and D;5c53b314-ebab-4e3e-89be-e4139d9318ae;Hash;2024-06-03 11:15:13.621295
14 Cannons Brewing Company;micro;31125 Via Colinas Ste 907;Others;Others;Westlake Village;California;91362-3974;United States;-118.802.397;3.415.334;8186996165;http://14cannons.com;California;31125 Via Colinas Ste 907;4788221a-a03b-458c-9084-4cadd69ade6d;Hash;2024-06-03 11:15:13.621295
14 Lakes Brewery;micro;Others;Others;Others;Crosslake;Minnesota;56442;United States;0;0;2186924129;WithoutWebSite;Minnesota;Others;b7b68d22-5045-4501-b9bf-ec94946eaffc;Hash;2024-06-03 11:15:13.621295
14er Brewing Company;proprietor;2801 Walnut St;Others;Others;Denver;Colorado;80205-2235;United States;-1.049.839.636;397.614.112;7207731437;http://www.14erBrewing.com;Colorado;2801 Walnut St;4b677b60-fef1-42e2-90ef-dadc1bd7fb06;Hash;2024-06-03 11:15:13.621295
14th Star Brewing;micro;133 N Main St Ste 7;Others;Others;Saint Albans;Vermont;05478-1735;United States;0;0;8025285988;http://www.14thstarbrewing.com;Vermont;133 N Main St Ste 7;6c53984f-fac1-4ea7-9c44-44e25897c71a;Hash;2024-06-03 11:15:13.621295
16 Lots Brewing;brewpub;753 Reading Rd;Others;Others;Mason;Ohio;45040-1303;United States;-843.183.801;393.545.967;5134863672;http://www.16lots.com;Ohio;753 Reading Rd;85192a9c-58a4-48c3-bd9d-496d09d22aa3;Hash;2024-06-03 11:15:13.621295
16 Mile Brewing Co;micro;413 S Bedford St;Others;Others;Georgetown;Delaware;19947-1849;United States;-7.537.816.436;386.788.938;3022538816;http://www.16milebrewery.com;Delaware;413 S Bedford St;284b44f8-6ccb-4cd6-8d06-f2ad882a47c3;Hash;2024-06-03 11:15:13.621295
16 Stone Brewpub;brewpub;9542 Main St;Others;Others;Holland Patent;New York;13354;United States;-752.565.195;4.324.211.175;3158658500;http://www.16stonebrewpub.com;New York;9542 Main St;ee6d39c6-092f-4623-8099-5b8643f70dbe;Hash;2024-06-03 11:15:13.621295
1623 Brewing CO, llc;contract;1146 colonel Joshua Ct;Others;Others;Westminister;Maryland;21157;United States;0;0;0;WithoutWebSite;Maryland;1146 colonel Joshua Ct;d35b40b0-a3ff-4878-a6ee-9caa2149b521;Hash;2024-06-03 11:15:13.621295
1717 Brewing Co;micro;322 E Court Ave;Others;Others;Des Moines;Iowa;50309-2015;United States;-936.120.353;415.872.267;5152437868;http://1717brewing.com;Iowa;322 E Court Ave;84bd3b3c-bd2d-4e07-bc31-b43a8c8ebf4c;Hash;2024-06-03 11:15:13.621295
